wave,baren,vegetation,snow
1452.763672,0.289793,0.106934,0.00887
1462.733643,0.312811,0.115456,0.008736
1472.703613,0.304132,0.114128,0.007036
1482.663696,0.301897,0.114294,0.006786
1492.633667,0.29867,0.115981,0.007177
1502.603638,0.303002,0.122113,0.007028
1512.573608,0.308891,0.132681,0.007545
1522.533691,0.312873,0.139646,0.007458
1532.503662,0.31752,0.14893,0.007683
1542.463623,0.322399,0.15867,0.007992
1552.433716,0.325248,0.168587,0.008814
1562.403687,0.324317,0.174154,0.008989
1572.363647,0.322402,0.177971,0.00933
1582.333618,0.320536,0.183957,0.009646
1592.293701,0.327189,0.193318,0.010803
1602.263672,0.333914,0.202134,0.011282
1612.223633,0.337831,0.208459,0.011531
1622.183716,0.343929,0.216845,0.01277
1632.153687,0.348647,0.223285,0.012844
1642.113647,0.350977,0.227075,0.013152
1652.073608,0.352838,0.230346,0.014264
1662.043701,0.355346,0.233257,0.014371
1672.003662,0.34965,0.23028,0.015487
1681.963623,0.35186,0.229168,0.016134
1691.933716,0.350007,0.224883,0.016593
1701.893677,0.350019,0.223315,0.017806
1711.853638,0.346762,0.217338,0.018355
1721.813599,0.346859,0.212231,0.018795
1731.773682,0.342956,0.205142,0.018623
1741.733643,0.34713,0.202832,0.018943
1751.693604,0.349268,0.197574,0.018982
1761.663696,0.350344,0.19227,0.019171
1771.623657,0.347334,0.185968,0.019008
1781.583618,0.349409,0.184104,0.019091
1791.543701,0.351574,0.185276,0.019662
1967.363647,0.341585,0.063677,0.00807
1977.393677,0.338143,0.060928,0.007513
1987.433716,0.325472,0.060831,0.007372
1997.463623,0.264998,0.055649,0.006179
2007.503662,0.294547,0.073894,0.009715
2017.523682,0.347228,0.082151,0.009805
2027.553711,0.332879,0.07458,0.008161
2037.583618,0.308232,0.071823,0.007749
2047.603638,0.282441,0.070457,0.007626
2057.623779,0.29683,0.080352,0.008763
2067.643555,0.296997,0.082239,0.008577
2077.653564,0.29641,0.084359,0.008455
2087.663574,0.292169,0.085132,0.00837
2097.683594,0.29228,0.088648,0.008656
2107.683594,0.287285,0.09024,0.008792
2117.693604,0.290569,0.092618,0.009077
2127.693604,0.292892,0.096944,0.009712
2137.703613,0.292363,0.095683,0.010003
2147.693604,0.288629,0.097557,0.010277
2157.693604,0.288547,0.099951,0.01082
2167.693604,0.289682,0.102134,0.011513
2177.683594,0.289714,0.101362,0.01165
2187.673584,0.290026,0.104687,0.011824
2197.663574,0.287645,0.105131,0.012411
2207.643555,0.299474,0.110438,0.012896
2217.633545,0.30034,0.110221,0.013696
2227.61377,0.295712,0.109508,0.013598
2237.58374,0.290824,0.104985,0.013725
2247.563721,0.280124,0.101318,0.013658
2257.533691,0.270579,0.096043,0.013269
2267.513672,0.262599,0.091859,0.012933
